Equipamento,Escala,IMO,Inicio,Fim,Unidade,Quantidade
QC06,PTSIE633067701,4504276,2022-06-19 13:04:24,2022-06-19 16:34:04,Unidade,323.0
FLEXIVEL 1,PTSIE633067701,4504276,2022-06-19 16:34:04,2022-06-19 22:02:04,Quilograma,288931.63200758665
QC10,PTSIE865913615,4804860,2024-03-29 14:05:41,2024-03-30 06:37:11,Tonelada,117.7860071991073
QC09,PTSIE865913615,4804860,2024-03-30 06:37:11,2024-03-29 20:17:06,Unidade,503.0
QC06,PTSIE865913615,4804860,2024-03-29 20:17:06,2024-03-30 13:04:00,Unidade,553.0
QC07,PTSIE865913615,4804860,2024-03-30 13:04:00,2024-03-29 14:59:04,Unidade,407.0
QC08,PTSIE865913615,4804860,2024-03-29 14:59:04,2024-03-29 15:57:39,Quilograma,785553.9505577534
QC08,PTSIE381632312,9527482,2024-01-16 04:50:38,2024-01-16 05:37:41,Unidade,641.0
QC09,PTSIE381632312,9527482,2024-01-16 05:37:41,2024-01-16 05:29:38,Unidade,156.0
QC10,PTSIE381632312,9527482,2024-01-16 05:29:38,2024-01-16 12:28:18,Unidade,453.0
QC03,PTSIE708205884,5348705,2023-06-01 02:40:45,2023-06-06 09:38:05,Unidade,394.0
QC02,PTSIE708205884,5348705,2023-06-06 09:38:05,2023-06-06 15:57:35,Unidade,394.0
QC01,PTSIE708205884,5348705,2023-06-06 15:57:35,2023-06-13 03:39:46,Unidade,306.0
QC04,PTSIE872812601,4682461,2023-01-30 15:58:01,2023-01-31 01:11:18,Unidade,334.0
QC03,PTSIE872812601,4682461,2023-01-31 01:11:18,2023-01-30 20:18:50,Unidade,170.0
QC05,PTSIE872812601,4682461,2023-01-30 20:18:50,2023-01-31 00:12:09,Unidade,62.0
FLEXIVEL 1,PTSIE872812601,4682461,2023-01-31 00:12:09,2023-01-30 20:38:13,Unidade,313.0
FLEXIVEL 2,PTSIE872812601,4682461,2023-01-30 20:38:13,2023-01-31 08:14:30,Quilograma,974305.2125304701
QC06,PTSIE872812601,4682461,2023-01-31 08:14:30,2023-01-31 10:00:37,Tonelada,96.86599731053957
QC02,PTSIE518313234,0635106,2023-01-28 00:23:00,2023-01-28 15:24:39,Tonelada,240.29883765741562
QC04,PTSIE518313234,0635106,2023-01-28 15:24:39,2023-01-28 07:22:20,Tonelada,435.79104978926915
